label,person_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,99,2.361299753189087,2.387517213821411,2.4680521488189697,2.2694501876831055,2.3699512481689453,2.1035947799682617,2.1621344089508057,1.8269799947738647,2.121471881866455,2.4749960899353027,2.6022298336029053,2.556493043899536,2.7396373748779297,2.5755057334899902,2.3477513790130615,2.2973923683166504,2.260131597518921,2.3399596214294434,2.537526845932007,2.614647388458252,2.678748369216919,2.7075865268707275,2.753119707107544,2.371178150177002,2.408993721008301,2.3358054161071777,2.4283344745635986,2.7545166015625,2.9183905124664307,2.8694069385528564,3.224517822265625,3.0503711700439453,2.710832357406616,2.654531240463257,2.8301990032196045,2.6325230598449707,1.5686959028244019,1.4280798435211182,1.614770531654358,-0.47613000869750977,-0.8044000267982483
0,99,2.362884044647217,2.402074098587036,2.4791955947875977,2.334667205810547,2.4240522384643555,2.12760329246521,2.1794893741607666,1.8974922895431519,2.163389205932617,2.463405132293701,2.6020781993865967,2.5583667755126953,2.7827248573303223,2.624897003173828,2.3552913665771484,2.3041157722473145,2.3238251209259033,2.358696460723877,2.5793678760528564,2.667987823486328,2.7274937629699707,2.7942118644714355,2.831968307495117,2.431072473526001,2.4625184535980225,2.417114496231079,2.4873571395874023,2.752509355545044,2.9250760078430176,2.879085063934326,3.263015031814575,3.0979957580566406,2.723594903945923,2.6680908203125,2.885427951812744,2.6350269317626953,1.5000255107879639,1.4364675283432007,1.6736457347869873,-0.5346867442131042,-0.7903725504875183
0,99,2.321727991104126,2.369982957839966,2.4380314350128174,2.318817377090454,2.3942363262176514,2.0868523120880127,2.138449192047119,1.903452754020691,2.115034580230713,2.4362547397613525,2.5966432094573975,2.5358829498291016,2.851569652557373,2.668619155883789,2.361435890197754,2.3029913902282715,2.450651168823242,2.3276607990264893,2.536898136138916,2.636152505874634,2.6864993572235107,2.7867000102996826,2.8117752075195312,2.3944809436798096,2.425623893737793,2.435931921005249,2.433978319168091,2.768887519836426,2.960770606994629,2.8991520404815674,3.365927219390869,3.1799941062927246,2.7733213901519775,2.712146520614624,3.0401499271392822,2.610780715942383,1.6021747589111328,1.4040610790252686,1.623869776725769,-0.5541871190071106,-0.8226000070571899
0,99,2.417707681655884,2.4595892429351807,2.5228302478790283,2.3318166732788086,2.4143903255462646,2.1676626205444336,2.215775489807129,1.8384815454483032,2.180311918258667,2.442857265472412,2.5709145069122314,2.513489246368408,2.6561083793640137,2.4925928115844727,2.3036489486694336,2.2499594688415527,2.1396570205688477,2.301975727081299,2.615054130554199,2.7042622566223145,2.7514195442199707,2.767085552215576,2.802103042602539,2.446627616882324,2.47648549079895,2.340606927871704,2.50920033454895,2.741239309310913,2.9041190147399902,2.848799467086792,3.1491737365722656,2.988332748413086,2.677217483520508,2.6229333877563477,2.7136025428771973,2.651508092880249,1.5068998336791992,1.4380444288253784,1.5532712936401367,-0.5233920812606812,-0.8124702572822571
0,99,2.375964403152466,2.431884288787842,2.488231658935547,2.350797653198242,2.421099901199341,2.144514560699463,2.1886916160583496,1.8688112497329712,2.175431966781616,2.4345343112945557,2.576946496963501,2.5160720348358154,2.708404064178467,2.543562889099121,2.3165080547332764,2.2627222537994385,2.2151403427124023,2.322622299194336,2.5941569805145264,2.6958694458007812,2.7360527515411377,2.7972402572631836,2.8227665424346924,2.4441707134246826,2.4706125259399414,2.3800792694091797,2.4990227222442627,2.7290091514587402,2.9032065868377686,2.844712734222412,3.1864283084869385,3.0249311923980713,2.6842544078826904,2.6304385662078857,2.7729363441467285,2.635101079940796,1.475972056388855,1.4377723932266235,1.5692554712295532,-0.5617519617080688,-0.8284525871276855
0,99,2.4255218505859375,2.476285696029663,2.5312867164611816,2.363649845123291,2.4434432983398438,2.1864466667175293,2.227487802505493,1.8606196641921997,2.19622802734375,2.5117807388305664,2.631277322769165,2.575192451477051,2.6457297801971436,2.505681276321411,2.348820924758911,2.298163890838623,2.0758492946624756,2.368608236312866,2.6151528358459473,2.7104315757751465,2.751995086669922,2.7835960388183594,2.8246846199035645,2.4565494060516357,2.4827756881713867,2.3579862117767334,2.503911018371582,2.7427268028259277,2.8983163833618164,2.8413891792297363,3.0823535919189453,2.9405410289764404,2.656576633453369,2.603682518005371,2.610196352005005,2.6661369800567627,1.4317560195922852,1.482317328453064,1.5541781187057495,-0.5411815643310547,-0.8084328770637512
0,99,2.3906967639923096,2.4418351650238037,2.4954335689544678,2.3416247367858887,2.4207570552825928,2.1580655574798584,2.199737310409546,1.8468517065048218,2.1657867431640625,2.524179697036743,2.6394288539886475,2.5814898014068604,2.6315131187438965,2.4928691387176514,2.354811191558838,2.306678533554077,2.0434799194335938,2.366780996322632,2.5737831592559814,2.6685266494750977,2.7092761993408203,2.749941825866699,2.7923052310943604,2.4197683334350586,2.447450876235962,2.3335156440734863,2.457902669906616,2.7398173809051514,2.8917932510375977,2.832918167114258,3.054527521133423,2.914161443710327,2.645711660385132,2.595181703567505,2.5662617683410645,2.6621510982513428,1.439670443534851,1.4907909631729126,1.5565379858016968,-0.4988723397254944,-0.7587450742721558
0,99,2.4013655185699463,2.4378676414489746,2.4943556785583496,2.2766964435577393,2.3618011474609375,2.1495370864868164,2.1947810649871826,1.738123893737793,2.1267106533050537,2.5188326835632324,2.6223833560943604,2.568119525909424,2.5683398246765137,2.4330031871795654,2.334829568862915,2.2900357246398926,1.95084547996521,2.331554889678955,2.554323434829712,2.6350202560424805,2.6785714626312256,2.660365581512451,2.705512523651123,2.379117012023926,2.409919261932373,2.204063653945923,2.4194939136505127,2.718658208847046,2.8592493534088135,2.804229974746704,2.977043867111206,2.8390045166015625,2.607697010040283,2.5602307319641113,2.45792555809021,2.6415348052978516,1.44014310836792,1.4508610963821411,1.5421923398971558,-0.4532885253429413,-0.7618446350097656
0,99,2.3552703857421875,2.3894426822662354,2.451491355895996,2.2416465282440186,2.3276541233062744,2.106107473373413,2.155885696411133,1.7233132123947144,2.095412015914917,2.462399482727051,2.56937837600708,2.5193402767181396,2.554412364959717,2.4136507511138916,2.290531873703003,2.2479262351989746,1.9681739807128906,2.301062822341919,2.50747013092041,2.586498260498047,2.634396553039551,2.626224994659424,2.667184591293335,2.3360471725463867,2.369469404220581,2.18654727935791,2.3794004917144775,2.677506923675537,2.8211944103240967,2.768986940383911,2.974616289138794,2.8267385959625244,2.5797040462493896,2.5326480865478516,2.481637477874756,2.6022164821624756,1.432215690612793,1.4431509971618652,1.518147349357605,-0.4520173966884613,-0.7757090926170349
0,99,2.354874849319458,2.4054505825042725,2.4630796909332275,2.324069023132324,2.397927761077881,2.1268303394317627,2.1713240146636963,1.8309309482574463,2.146010637283325,2.4736056327819824,2.5975990295410156,2.5415430068969727,2.6511659622192383,2.5023703575134277,2.3274166584014893,2.2785940170288086,2.095097303390503,2.345017910003662,2.5508248805999756,2.645103693008423,2.688901662826538,2.742771863937378,2.776582717895508,2.4018290042877197,2.430757999420166,2.321319818496704,2.4416494369506836,2.7173879146575928,2.8753278255462646,2.81990122795105,3.0884861946105957,2.939312219619751,2.6442320346832275,2.593837022781372,2.6209659576416016,2.6408984661102295,1.4419026374816895,1.4707226753234863,1.5502632856369019,-0.5452557802200317,-0.810063362121582
