label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98
6,0.0,0.0,0.0,0.026020526885986328,-0.05131739377975464,0.0711599588394165,0.04290550947189331,-0.0512087345123291,0.07151031494140625,0.05688881874084473,-0.05039107799530029,0.0718311071395874,-0.022288382053375244,-0.04999333620071411,0.07191526889801025,-0.038317859172821045,-0.04963594675064087,0.07174956798553467,-0.051554471254348755,-0.04896146059036255,0.0721966028213501,0.08374625444412231,-0.02670109272003174,0.49248093366622925,-0.06722709536552429,-0.027949810028076172,0.48374003171920776,0.0322701632976532,0.046000897884368896,0.1565721035003662,-0.025777488946914673,0.04698210954666138,0.15273725986480713,0.19424492120742798,0.2313947081565857,0.7961522936820984,-0.17668312788009644,0.2723839282989502,0.7847541570663452,0.28186100721359253,0.6011635661125183,0.7252044081687927,-0.37272363901138306,0.5919188857078552,0.1711411476135254,0.27962374687194824,0.9187062382698059,0.2919512987136841,-0.3389424681663513,0.1692134141921997,-0.5720986127853394,0.29875117540359497,1.0047426223754883,0.23577880859375,-0.3393019735813141,0.057077646255493164,-0.7002218961715698,0.2619633078575134,1.005648136138916,0.20638680458068848,-0.31773510575294495,0.024354934692382812,-0.6269481182098389,0.24253416061401367,0.9781379103660583,0.26854902505874634,-0.31052732467651367,0.06621068716049194,-0.5676248073577881,0.14897280931472778,0.8748190999031067,1.3036199808120728,-0.0969591736793518,0.8842517733573914,1.237112283706665,0.1321120262145996,1.2948975563049316,0.505443811416626,-0.07249188423156738,1.3132579326629639,0.5137351751327515,0.13764989376068115,1.8328490257263184,0.8811460733413696,-0.078899085521698,1.846104383468628,0.7657213807106018,0.13870733976364136,1.9165172576904297,0.9182392358779907,-0.08502617478370667,1.922220230102539,0.7819404602050781,0.11099857091903687,2.006699800491333,0.5036908984184265,-0.02611488103866577,2.0257019996643066,0.2990076541900635
6,0.0,0.0,0.0,0.027133643627166748,-0.05060374736785889,0.06581306457519531,0.04474234580993652,-0.050079166889190674,0.06635630130767822,0.059549152851104736,-0.049019575119018555,0.06671452522277832,-0.02119353413581848,-0.05014556646347046,0.07284033298492432,-0.03682047128677368,-0.049946129322052,0.07279622554779053,-0.049350738525390625,-0.049240052700042725,0.07333683967590332,0.08793866634368896,-0.025586307048797607,0.4631299376487732,-0.06415653228759766,-0.02788907289505005,0.4825980067253113,0.03457576036453247,0.04646021127700806,0.1477271318435669,-0.025433361530303955,0.04638558626174927,0.15206623077392578,0.2036692500114441,0.23567771911621094,0.7513476014137268,-0.16279298067092896,0.26614445447921753,0.7714148163795471,0.30275464057922363,0.5870047211647034,0.657601535320282,-0.36091357469558716,0.5756548643112183,0.18879389762878418,0.3011537194252014,0.9600017666816711,0.2180389165878296,-0.32578855752944946,0.1662461757659912,-0.5467895269393921,0.3241323232650757,1.0619657039642334,0.15937674045562744,-0.32495325803756714,0.05573761463165283,-0.6774135828018188,0.28248143196105957,1.0681426525115967,0.12599825859069824,-0.3110399544239044,0.02244049310684204,-0.6028560400009155,0.26208996772766113,1.0332441329956055,0.1923450231552124,-0.2944057285785675,0.06324154138565063,-0.5418460369110107,0.1297551393508911,0.8696748614311218,1.2879103422164917,-0.09843280911445618,0.8767358660697937,1.2485730648040771,0.12653708457946777,1.3177616596221924,0.5582852363586426,-0.08420586585998535,1.3298296928405762,0.5891234278678894,0.13804417848587036,1.831676959991455,0.9731572866439819,-0.08444684743881226,1.8441851139068604,0.874977707862854,0.14044415950775146,1.9132535457611084,1.0144338607788086,-0.08937728404998779,1.9189674854278564,0.8937492370605469,0.10975921154022217,2.0048139095306396,0.6083559989929199,-0.031699299812316895,2.024017333984375,0.4204651713371277
6,0.0,0.0,0.0,0.026231229305267334,-0.052460432052612305,0.0659409761428833,0.04411575198173523,-0.05298691987991333,0.0665438175201416,0.059633731842041016,-0.05309182405471802,0.06700927019119263,-0.025045812129974365,-0.05100816488265991,0.08021938800811768,-0.04054713249206543,-0.050737619400024414,0.08035904169082642,-0.05243426561355591,-0.05022895336151123,0.08101296424865723,0.08618485927581787,-0.02989250421524048,0.4291987419128418,-0.06435501575469971,-0.030625641345977783,0.4819881319999695,0.035140156745910645,0.042047083377838135,0.12975358963012695,-0.023965150117874146,0.04315704107284546,0.1437113881111145,0.2020924687385559,0.23461037874221802,0.6289167404174805,-0.15747278928756714,0.267034649848938,0.7295689582824707,0.32196998596191406,0.5664361119270325,0.522452175617218,-0.3452342450618744,0.5408749580383301,0.17574238777160645,0.32237327098846436,0.9237737655639648,0.10940271615982056,-0.33104488253593445,0.163013756275177,-0.5425430536270142,0.34835153818130493,1.0198376178741455,0.05271095037460327,-0.33378830552101135,0.05996459722518921,-0.668632984161377,0.302670955657959,1.0319390296936035,0.02438431978225708,-0.3191678822040558,0.023226022720336914,-0.5934553146362305,0.28221917152404785,1.0008792877197266,0.08413928747177124,-0.30121976137161255,0.060721635818481445,-0.5424237251281738,0.1578999161720276,0.8787480592727661,0.967170774936676,-0.06592163443565369,0.8867270946502686,0.9486878514289856,0.134468674659729,1.304771065711975,0.09968703985214233,-0.06767386198043823,1.3535518646240234,0.25909632444381714,0.15127235651016235,1.8481032848358154,0.46904125809669495,-0.07136973738670349,1.8894388675689697,0.48412391543388367,0.15450745820999146,1.9348571300506592,0.5077897310256958,-0.07355919480323792,1.9713597297668457,0.49649450182914734,0.13110452890396118,2.0237648487091064,0.10877746343612671,-0.03324019908905029,2.0651795864105225,0.020587444305419922
6,0.0,0.0,0.0,0.02663823962211609,-0.053428471088409424,0.06614696979522705,0.04433518648147583,-0.05418497323989868,0.06622576713562012,0.0596219003200531,-0.05443447828292847,0.0666583776473999,-0.02390417456626892,-0.05059581995010376,0.07558000087738037,-0.03938913345336914,-0.05009770393371582,0.07540714740753174,-0.05133330821990967,-0.0493006706237793,0.07576286792755127,0.08776053786277771,-0.030353307723999023,0.47583627700805664,-0.06223040819168091,-0.029012203216552734,0.5059943795204163,0.035497695207595825,0.04410141706466675,0.15160906314849854,-0.022968560457229614,0.04598301649093628,0.15866553783416748,0.20502862334251404,0.23612183332443237,0.7613992691040039,-0.15733885765075684,0.26581960916519165,0.810412585735321,0.31424543261528015,0.5807927250862122,0.6857070922851562,-0.3488285541534424,0.5584588646888733,0.21276473999023438,0.28747591376304626,0.8725599646568298,0.2969490885734558,-0.3356260657310486,0.16124755144119263,-0.5430053472518921,0.29801449179649353,0.955694854259491,0.24247026443481445,-0.34390395879745483,0.06097787618637085,-0.670143723487854,0.2625233829021454,0.9475039839744568,0.21835803985595703,-0.32380953431129456,0.027126431465148926,-0.5973312854766846,0.24476847052574158,0.9268197417259216,0.276736855506897,-0.3141063451766968,0.06639641523361206,-0.539747953414917,0.16415545344352722,0.8660430312156677,1.2713040113449097,-0.06382188200950623,0.8716300129890442,1.21670401096344,0.17934277653694153,1.2834842205047607,0.42720460891723633,-0.02611115574836731,1.3345370292663574,0.5242820382118225,0.18845364451408386,1.8311421871185303,0.8391327857971191,-0.038023442029953,1.881201982498169,0.7976622581481934,0.18830975890159607,1.9110395908355713,0.8816552758216858,-0.045777708292007446,1.9547431468963623,0.8177744150161743,0.17296156287193298,2.004204034805298,0.4830566644668579,0.0030780136585235596,2.0611937046051025,0.34290409088134766
6,0.0,0.0,0.0,0.02810007333755493,-0.052825331687927246,0.06277751922607422,0.046762704849243164,-0.05276447534561157,0.06272077560424805,0.06267121434211731,-0.05241262912750244,0.06342291831970215,-0.026469439268112183,-0.05249232053756714,0.0765458345413208,-0.041282981634140015,-0.05259150266647339,0.07621991634368896,-0.053097933530807495,-0.05217611789703369,0.07653450965881348,0.09037169814109802,-0.0288693904876709,0.45262789726257324,-0.0626993477344513,-0.03162252902984619,0.5015333890914917,0.03679311275482178,0.04550063610076904,0.1436554193496704,-0.023477643728256226,0.04631584882736206,0.1550784707069397,0.21370521187782288,0.24065589904785156,0.6295697689056396,-0.15239015221595764,0.27232009172439575,0.8310809135437012,0.3425966799259186,0.5995955467224121,0.2149609923362732,-0.35757410526275635,0.5495988130569458,0.18524354696273804,0.1296750009059906,0.7401472330093384,-0.3946037292480469,-0.33881664276123047,0.15312302112579346,-0.536261796951294,0.08477386832237244,0.7756525278091431,-0.5017682313919067,-0.346960186958313,0.04482239484786987,-0.6628141403198242,0.035256922245025635,0.74425208568573,-0.4160498380661011,-0.325894832611084,0.022532761096954346,-0.554984450340271,0.040163397789001465,0.7457959651947021,-0.37790417671203613,-0.31709811091423035,0.06105804443359375,-0.5246165990829468,0.17178305983543396,0.8867135047912598,1.075456142425537,-0.08423280715942383,0.8907946348190308,1.0868113040924072,0.13754066824913025,1.272029161453247,0.23922240734100342,-0.0733405351638794,1.3043537139892578,0.29726672172546387,0.16368326544761658,1.8651165962219238,0.61562579870224,-0.06359004974365234,1.8897099494934082,0.53963702917099,0.17386427521705627,1.9555878639221191,0.6556638479232788,-0.05805933475494385,1.975031852722168,0.5579686164855957,0.12528672814369202,2.041796922683716,0.23073351383209229,-0.04844513535499573,2.067068576812744,0.06622171401977539
6,0.0,0.0,0.0,0.025582045316696167,-0.05078858137130737,0.061461448669433594,0.04227769374847412,-0.05138474702835083,0.061809539794921875,0.057067036628723145,-0.052122533321380615,0.06229996681213379,-0.025156617164611816,-0.05056500434875488,0.06812107563018799,-0.042218178510665894,-0.051336705684661865,0.06760501861572266,-0.056790709495544434,-0.0520666241645813,0.06782662868499756,0.08155304193496704,-0.03317171335220337,0.473599374294281,-0.07271036505699158,-0.031237125396728516,0.4947187304496765,0.034319669008255005,0.04536116123199463,0.15492510795593262,-0.02697664499282837,0.04764026403427124,0.15854549407958984,0.20106226205825806,0.22506922483444214,0.6958215236663818,-0.16770237684249878,0.26316362619400024,0.8306127786636353,0.32952266931533813,0.5854117274284363,0.3325594663619995,-0.37983477115631104,0.5455583930015564,0.23766076564788818,0.1606706976890564,0.624689519405365,-0.2798769474029541,-0.34612444043159485,0.132624089717865,-0.4538156986236572,0.12674754858016968,0.6281965374946594,-0.3968104124069214,-0.355475515127182,0.03969031572341919,-0.5943243503570557,0.09554857015609741,0.5947468280792236,-0.34079253673553467,-0.3400421142578125,0.010331213474273682,-0.5142055749893188,0.0964508056640625,0.605430543422699,-0.2800978422164917,-0.318217933177948,0.04696345329284668,-0.4549140930175781,0.17139804363250732,0.9049089550971985,1.231175422668457,-0.09207877516746521,0.9232438206672668,1.2762309312820435,0.15381211042404175,1.4509203433990479,0.9904226064682007,-0.07291585206985474,1.4802908897399902,0.9521986246109009,0.1829371452331543,1.9911305904388428,1.5012831687927246,-0.0501248836517334,1.9887993335723877,1.4606733322143555,0.1993899941444397,2.070476770401001,1.548803448677063,-0.046866536140441895,2.0550670623779297,1.5036753416061401,0.12680315971374512,2.171311140060425,1.1200236082077026,-0.0307580828666687,2.175015687942505,1.0741357803344727
6,0.0,0.0,0.0,0.02955755591392517,-0.052390098571777344,0.06152909994125366,0.048902660608291626,-0.05259525775909424,0.0625113844871521,0.06555446982383728,-0.05266064405441284,0.0635068416595459,-0.02845582365989685,-0.05400896072387695,0.07809340953826904,-0.04485997557640076,-0.05508798360824585,0.07754254341125488,-0.05804970860481262,-0.05550742149353027,0.0779675841331482,0.09645900130271912,-0.032553017139434814,0.44273149967193604,-0.07067272067070007,-0.03495228290557861,0.5173717737197876,0.041999250650405884,0.05277681350708008,0.1353445053100586,-0.026045531034469604,0.05091732740402222,0.15351927280426025,0.24555012583732605,0.20542508363723755,0.6826013922691345,-0.1491529941558838,0.2579003572463989,0.7488412857055664,0.3636610805988312,0.6539102792739868,0.2239009141921997,-0.3748202323913574,0.5916334390640259,0.3302153944969177,0.3080516755580902,0.34110063314437866,-0.5880976319313049,-0.32885077595710754,0.1955578327178955,-0.48789507150650024,0.33522137999534607,0.22426515817642212,-0.7247779965400696,-0.3384478688240051,0.08114409446716309,-0.6340265870094299,0.30357614159584045,0.15736407041549683,-0.6899858117103577,-0.31154024600982666,0.04243731498718262,-0.5795723795890808,0.28847596049308777,0.19410467147827148,-0.6030377745628357,-0.2976152300834656,0.07163017988204956,-0.4949343800544739,0.19179955124855042,0.9104807376861572,0.920097827911377,-0.09129229187965393,0.9093496799468994,0.9271097779273987,0.18187007308006287,1.4366549253463745,0.7738764882087708,-0.07839187979698181,1.4822616577148438,0.7502565383911133,0.17323759198188782,1.908823847770691,1.3432972431182861,-0.0880531370639801,1.9557150602340698,1.1820975542068481,0.17638751864433289,1.981054663658142,1.398193359375,-0.09521695971488953,2.021716594696045,1.2174098491668701,0.14722296595573425,2.0793752670288086,1.0597591400146484,-0.061868131160736084,2.1400556564331055,0.8491094708442688
6,0.0,0.0,0.0,0.02704000473022461,-0.053056299686431885,0.06398051977157593,0.04467254877090454,-0.05668753385543823,0.064949631690979,0.05849051475524902,-0.05923503637313843,0.06600117683410645,-0.02761375904083252,-0.04710841178894043,0.07642406225204468,-0.04595458507537842,-0.04610621929168701,0.07606184482574463,-0.06053730845451355,-0.04536283016204834,0.07637155055999756,0.08281046152114868,-0.040764451026916504,0.4288293719291687,-0.07530158758163452,-0.028453469276428223,0.4962683618068695,0.04079633951187134,0.04495561122894287,0.13011211156845093,-0.025085389614105225,0.05232870578765869,0.146165132522583,0.22940874099731445,0.20804834365844727,0.5903654098510742,-0.1513163447380066,0.2543466091156006,0.6343712210655212,0.3344936966896057,0.4954262971878052,0.0065996646881103516,-0.3529335856437683,0.5889537334442139,0.10455673933029175,0.3439745306968689,0.15195012092590332,-0.8645564913749695,-0.335858017206192,0.19894254207611084,-0.7270886301994324,0.3404774069786072,0.03835254907608032,-1.0258216857910156,-0.35134705901145935,0.08896005153656006,-0.882078230381012,0.3213188648223877,0.021820068359375,-0.9812936186790466,-0.32939979434013367,0.046096980571746826,-0.8413156867027283,0.3055724501609802,0.06441617012023926,-0.8850924372673035,-0.3076629042625427,0.07796597480773926,-0.747215211391449,0.19051915407180786,0.9123178124427795,0.7318731546401978,-0.09312039613723755,0.9207846522331238,0.7359224557876587,0.17338699102401733,1.4666097164154053,0.6282709836959839,-0.07432624697685242,1.5253417491912842,0.6437327265739441,0.15079092979431152,1.9544591903686523,1.1710724830627441,-0.10066324472427368,2.010575771331787,0.9865155220031738,0.14903324842453003,2.024016857147217,1.224816083908081,-0.1123926043510437,2.069286346435547,1.0143688917160034,0.13087725639343262,2.132800579071045,0.9009323120117188,-0.06277492642402649,2.2089085578918457,0.6478027105331421
6,0.0,0.0,0.0,0.025516003370285034,-0.05320262908935547,0.07365188002586365,0.04220372438430786,-0.055248379707336426,0.07491010427474976,0.05642497539520264,-0.05715954303741455,0.07610967755317688,-0.025693237781524658,-0.05037188529968262,0.07776284217834473,-0.04236844182014465,-0.050263047218322754,0.07738685607910156,-0.05603760480880737,-0.049822866916656494,0.07771679759025574,0.07790625095367432,-0.0404132604598999,0.4392161965370178,-0.07178103923797607,-0.030868828296661377,0.4700937271118164,0.03771936893463135,0.045004963874816895,0.12526938319206238,-0.025772124528884888,0.051757752895355225,0.13050848245620728,0.22319209575653076,0.21786552667617798,0.6030099987983704,-0.15708070993423462,0.25065886974334717,0.5628560781478882,0.3436700105667114,0.5160845518112183,0.15732121467590332,-0.3604515492916107,0.5611985921859741,0.13816982507705688,0.3313131332397461,0.12201422452926636,-0.5276918411254883,-0.3114233613014221,0.18179070949554443,-0.514164924621582,0.34806764125823975,-0.01433032751083374,-0.6358052492141724,-0.3313678205013275,0.07527303695678711,-0.6348055601119995,0.3246651291847229,-0.02904289960861206,-0.5970209836959839,-0.30920082330703735,0.039608538150787354,-0.5753089189529419,0.3173902630805969,0.008279621601104736,-0.5426621437072754,-0.2877146303653717,0.06935828924179077,-0.5184904336929321,0.1749258041381836,0.8723251819610596,0.5273962616920471,-0.10001951456069946,0.8766882419586182,0.505087673664093,0.16316968202590942,1.3957116603851318,0.38842570781707764,-0.08098375797271729,1.4326685667037964,0.37395548820495605,0.14478474855422974,1.8782243728637695,0.7904047966003418,-0.09403139352798462,1.9030895233154297,0.6001148819923401,0.14299851655960083,1.9485883712768555,0.83139967918396,-0.1043773889541626,1.9637386798858643,0.6173380017280579,0.1290374994277954,2.0418686866760254,0.5458497405052185,-0.05810815095901489,2.080874443054199,0.29303354024887085
6,0.0,0.0,0.0,0.02471831440925598,-0.054223835468292236,0.06674134731292725,0.04165792465209961,-0.057724952697753906,0.06784230470657349,0.05609399080276489,-0.06082421541213989,0.06902611255645752,-0.02595105767250061,-0.04619121551513672,0.0740894079208374,-0.04073905944824219,-0.043963491916656494,0.07372939586639404,-0.05410659313201904,-0.04130876064300537,0.07401520013809204,0.08021193742752075,-0.04526650905609131,0.42318326234817505,-0.06829807162284851,-0.021222472190856934,0.46815383434295654,0.03848975896835327,0.04273402690887451,0.12376672029495239,-0.022490322589874268,0.0513957142829895,0.13316583633422852,0.22593367099761963,0.24060207605361938,0.635162889957428,-0.14624759554862976,0.25644099712371826,0.6006060838699341,0.37069326639175415,0.5935700535774231,0.15163809061050415,-0.3503139913082123,0.5730723738670349,0.12810981273651123,0.32402312755584717,0.16024357080459595,-0.5678916573524475,-0.296927809715271,0.17270028591156006,-0.5485929846763611,0.33882391452789307,0.01533728837966919,-0.6864754557609558,-0.323646605014801,0.04717695713043213,-0.6768679022789001,0.3187776803970337,-0.014370739459991455,-0.6255647540092468,-0.29274189472198486,0.020741641521453857,-0.5982802510261536,0.3119586706161499,0.02371501922607422,-0.5755817294120789,-0.2784297466278076,0.0559229850769043,-0.5463307499885559,0.19238799810409546,0.9166201949119568,0.8109287023544312,-0.08443492650985718,0.910571277141571,0.7695539593696594,0.1756453514099121,1.4586067199707031,0.6657631397247314,-0.07134047150611877,1.4844768047332764,0.6517424583435059,0.15116256475448608,1.9340801239013672,1.2283012866973877,-0.09613728523254395,1.9658458232879639,0.9957622289657593,0.1502760648727417,2.0046470165252686,1.2866778373718262,-0.10785579681396484,2.0326948165893555,1.0248970985412598,0.12872564792633057,2.093543767929077,0.9910894632339478,-0.0669390857219696,2.1376445293426514,0.6777380704879761
